TRADE_DATE,STRUCTURE_NAME,CONTRACT,OPTION_EXPIRY,TRADE_DAYS_TO_EXPIRY,FUTURES_PRICE,ATM_STRADDLE,BREAK_EVEN,ATM_IMP_VOL_1D_CHG,ATM_IMP_VOL_1WK_CHG,ATM_IMP_VOL_1MO_CHG,REAL_VOL_AVG_HIST,REAL_VOL_30_DAY,IMP_VOL_10D_PUT,IMP_VOL_25D_PUT,IMP_VOL_ATM,IMP_VOL_10D_CALL,IMP_VOL_25D_CALL,INSERTDATE,UPDATEDATE
06-05-2022,NG Term Structure,J23,3/28/23,225,$     5 .090,$       1.53,$     0 .165,1.10%,3.50%,12.30%,28.20%,51.70%,1.50%,0.10%,51.50%,8.90%,3.80%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,K23,4/25/23,244,$     4 .872,$       1.31,$     0 .143,2.40%,6.00%,12.60%,27.80%,49.50%,1.50%,-0.10%,46.50%,8.50%,4.00%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,M23,5/25/23,266,$     4 .910,$       1.30,$     0 .139,2.90%,6.00%,12.40%,27.50%,48.90%,1.60%,0.00%,44.80%,8.50%,4.00%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,N23,6/27/23,288,$     4 .950,$       1.34,$     0 .138,3.10%,6.40%,12.40%,26.60%,48.20%,1.40%,0.10%,44.10%,8.90%,3.40%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,Q23,7/26/23,308,$     4 .947,$       1.36,$     0 .136,3.10%,6.40%,11.70%,26.70%,48.00%,1.40%,0.10%,43.50%,9.00%,3.40%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,U23,8/28/23,331,$     4 .924,$       1.40,$     0 .133,3.10%,5.90%,10.90%,27.40%,48.40%,1.40%,0.10%,42.80%,9.30%,3.70%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,V23,9/26/23,351,$     4 .958,$       1.45,$     0 .135,3.20%,6.00%,10.30%,28.20%,47.90%,1.60%,0.10%,43.10%,9.40%,3.90%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,X23,10/26/23,373,$     5 .091,$       1.56,$     0 .147,5.00%,8.00%,11.50%,26.90%,45.30%,-2.90%,-2.20%,45.70%,12.20%,9.30%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,Z23,11/27/23,394,$     5 .344,$       1.81,$     0 .160,4.70%,8.10%,10.90%,27.10%,41.30%,-2.70%,-2.20%,47.40%,10.30%,9.30%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,F24,12/26/23,414,$     5 .478,$       2.01,$     0 .165,2.70%,7.00%,9.10%,28.80%,39.90%,2.30%,-0.20%,47.90%,22.00%,10.20%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,G24,1/26/24,435,$     5 .263,$       2.03,$     0 .164,2.60%,7.50%,9.60%,30.30%,38.50%,2.30%,-0.30%,49.40%,26.90%,12.00%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,H24,2/26/24,455,$     4 .844,$       1.96,$     0 .152,2.20%,7.40%,9.20%,29.50%,36.80%,2.30%,-0.20%,49.70%,25.50%,12.20%,26-05-2022,26-05-2022
06-05-2022,NG Term Structure,J24,3/25/24,475,$     4 .100,$       1.44,$     0 .100,2.70%,3.90%,6.80%,21.30%,35.40%,1.20%,-0.10%,38.80%,8.10%,4.30%,26-05-2022,26-05-2022
